airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,18:25:00,570,1 ,No info,12284
Multiple Carriers,2019-03-27,Delhi,Cochin,11:30:00,19:15:00,465,1 ,No info,6732
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,08:15:00,735,1 ,No info,14781
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1 ,No info,13817
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2 ,No info,15129
Multiple Carriers,2019-05-24,Delhi,Cochin,17:45:00,01:30:00,465,1 ,No info,9140
Goair,2019-03-21,Delhi,Cochin,07:00:00,12:50:00,350,1 ,No info,9385
Air India,2019-05-12,Kolkata,Banglore,12:00:00,21:50:00,590,2 ,No info,10676
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,21:00:00,570,1 ,No info,13727
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2 ,No info,13014
Indigo,2019-03-27,Kolkata,Banglore,20:25:00,23:05:00,160,0,No info,4462
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,07:40:00,1200,1 ,No info,12284
Air India,2019-06-09,Delhi,Cochin,05:15:00,06:50:00,1535,1 ,No info,6587
Vistara,2019-04-21,Banglore,Delhi,09:45:00,12:35:00,170,0,No info,5403
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2 ,In-flight meal not included,10368
Air India,2019-06-24,Delhi,Cochin,18:05:00,21:10:00,185,0,No info,5201
Multiple Carriers,2019-05-15,Delhi,Cochin,13:05:00,22:30:00,565,1 ,No info,9646
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,23:35:00,910,1 ,In-flight meal not included,7064
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,19:00:00,810,2 ,No info,13292
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,04:25:00,1105,1 ,In-flight meal not included,12373
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,10:05:00,910,1 ,No info,13941
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,18:15:00,1545,1 ,In-flight meal not included,7064
Jet Airways,2019-05-09,Kolkata,Banglore,10:20:00,17:35:00,435,1 ,In-flight meal not included,5608
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0,No info,3898
Air India,2019-03-03,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No info,11185
Jet Airways,2019-06-09,Delhi,Cochin,11:40:00,19:00:00,440,2 ,In-flight meal not included,15812
Air India,2019-05-18,Kolkata,Banglore,08:20:00,18:30:00,610,2 ,No info,10907
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,5769
Vistara,2019-05-06,Banglore,Delhi,11:30:00,14:20:00,170,0,No info,4668
Vistara,2019-05-21,Banglore,Delhi,09:45:00,12:35:00,170,0,No info,4668
Indigo,2019-05-15,Chennai,Kolkata,22:05:00,00:25:00,140,0,No info,5277
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,19:00:00,1680,1 ,In-flight meal not included,10262
Spicejet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Goair,2019-06-09,Banglore,Delhi,20:55:00,23:40:00,165,0,No info,3898
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1 ,No info,12242
Jet Airways,2019-05-09,Delhi,Cochin,11:40:00,19:00:00,440,2 ,No info,21219
Jet Airways,2019-05-21,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4030
Spicejet,2019-06-09,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,21:00:00,480,1 ,No info,7933
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,19:00:00,1380,2 ,No info,14300
Indigo,2019-03-24,Kolkata,Banglore,20:25:00,23:05:00,160,0,No info,8872
Indigo,2019-06-06,Delhi,Cochin,07:15:00,12:30:00,315,1 ,No info,6582
Indigo,2019-03-03,Banglore,New Delhi,01:30:00,04:15:00,165,0,No info,6144
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,1040,3 ,No info,15145
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Air India,2019-05-24,Delhi,Cochin,20:40:00,09:25:00,765,1 ,No info,7480
Jet Airways,2019-04-03,Banglore,Delhi,08:20:00,11:20:00,180,0,No info,7229
Multiple Carriers,2019-05-21,Delhi,Cochin,19:00:00,01:30:00,390,1 ,No info,7888
Indigo,2019-06-01,Kolkata,Banglore,22:15:00,00:50:00,155,0,No info,4804
Indigo,2019-06-06,Banglore,Delhi,21:15:00,00:15:00,180,0,No info,3943
Multiple Carriers,2019-03-27,Delhi,Cochin,11:30:00,21:00:00,570,1 ,No info,12537
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,21:00:00,660,1 ,No info,13587
Jet Airways,2019-04-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No info,8040
Air India,2019-06-24,Delhi,Cochin,17:15:00,07:40:00,865,2 ,No info,11989
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,08:15:00,1455,1 ,In-flight meal not included,10405
Air India,2019-06-01,Banglore,Delhi,10:00:00,12:45:00,165,0,No info,6961
Air India,2019-04-03,Banglore,Delhi,06:10:00,08:55:00,165,0,No info,4441
Indigo,2019-05-15,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,No info,2754
Multiple Carriers,2019-05-21,Delhi,Cochin,06:00:00,19:15:00,795,1 ,No info,8266
Air India,2019-06-09,Delhi,Cochin,22:00:00,19:15:00,1275,2 ,No info,10651
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,12:00:00,375,1 ,No info,13941
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,720,1 ,No info,13062
Multiple Carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,515,1 ,No info,14343
Multiple Carriers,2019-05-09,Delhi,Cochin,11:25:00,19:00:00,455,1 ,No info,9103
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,19:00:00,715,1 ,No info,16289
Air India,2019-05-24,Delhi,Cochin,22:00:00,19:15:00,1275,2 ,No info,10441
Indigo,2019-04-18,Banglore,Delhi,20:00:00,22:50:00,170,0,No info,4823
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,19:10:00,1570,1 ,No info,14151
Spicejet,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0,No check-in baggage included,3543
Spicejet,2019-06-12,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,4319
Spicejet,2019-05-15,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Goair,2019-05-15,Kolkata,Banglore,23:30:00,07:45:00,495,1 ,No info,6945
Jet Airways,2019-05-21,Banglore,Delhi,06:00:00,08:45:00,165,0,No info,7229
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1 ,No info,18550
Air Asia,2019-06-09,Delhi,Cochin,07:55:00,13:25:00,330,1 ,No info,8759
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,610,1 ,No info,15147
Jet Airways,2019-06-27,Banglore,Delhi,18:55:00,22:00:00,185,0,No info,8016
Spicejet,2019-04-15,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3919
Spicejet,2019-05-21,Delhi,Cochin,06:05:00,11:20:00,315,1 ,No info,6297
Vistara,2019-06-06,Banglore,Delhi,17:00:00,19:35:00,155,0,No info,4878
Multiple Carriers,2019-06-27,Delhi,Cochin,15:00:00,01:30:00,630,1 ,No info,13377
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,20:20:00,1290,1 ,No info,25735
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,08:15:00,735,1 ,No info,13941
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,1830,2 ,No info,13885
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,19:10:00,1305,1 ,No info,17471
Spicejet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,135,0,No info,3597
Jet Airways,2019-06-12,Delhi,Cochin,16:00:00,12:35:00,1235,1 ,In-flight meal not included,10262
Indigo,2019-06-24,Delhi,Cochin,05:10:00,10:05:00,295,1 ,No info,6496
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,16:20:00,1430,1 ,In-flight meal not included,10844
Air India,2019-03-06,Delhi,Cochin,07:00:00,07:40:00,1480,1 ,No info,15407
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1 ,In-flight meal not included,12373
Spicejet,2019-03-03,Kolkata,Banglore,09:00:00,11:30:00,150,0,No info,5515
Air India,2019-03-09,Delhi,Cochin,09:45:00,09:25:00,1420,2 ,No info,10660
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1 ,No info,15353
Air Asia,2019-04-15,Kolkata,Banglore,07:35:00,23:30:00,955,1 ,No info,5192
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,23:35:00,395,1 ,No info,14151
Indigo,2019-06-21,Banglore,Delhi,23:30:00,02:20:00,170,0,No info,4077
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1 ,No info,13067
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,23:35:00,570,1 ,No info,13364
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1 ,No info,16289
Multiple Carriers,2019-06-03,Delhi,Cochin,15:00:00,01:30:00,630,1 ,No info,13377
Indigo,2019-03-01,Banglore,New Delhi,20:00:00,22:55:00,175,0,No info,14306
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,04:25:00,550,1 ,In-flight meal not included,10262
Indigo,2019-06-24,Delhi,Cochin,05:05:00,12:10:00,425,1 ,No info,6442
Indigo,2019-06-06,Chennai,Kolkata,13:15:00,15:35:00,140,0,No info,3597
Jet Airways,2019-06-27,Delhi,Cochin,17:30:00,19:00:00,1530,1 ,In-flight meal not included,10262
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,12:35:00,1145,1 ,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,07:00:00,19:00:00,720,1 ,No info,12192
Jet Airways,2019-06-06,Delhi,Cochin,17:30:00,19:00:00,1530,1 ,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,21:20:00,855,2 ,No info,6128
Goair,2019-06-03,Delhi,Cochin,14:25:00,19:35:00,310,1 ,No info,9069
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,20:45:00,855,1 ,No info,14781
Multiple Carriers,2019-03-01,Delhi,Cochin,14:35:00,22:20:00,465,1 ,No info,14762
Indigo,2019-05-21,Kolkata,Banglore,22:15:00,00:50:00,155,0,No info,4804
Indigo,2019-05-18,Delhi,Cochin,20:25:00,01:30:00,305,1 ,No info,6069
Air India,2019-03-09,Delhi,Cochin,07:00:00,19:15:00,735,1 ,No info,15704
Indigo,2019-05-18,Delhi,Cochin,11:55:00,22:30:00,635,1 ,No info,8216
Air Asia,2019-03-27,Delhi,Cochin,07:55:00,15:45:00,470,1 ,No info,6151
Indigo,2019-05-21,Kolkata,Banglore,06:20:00,10:20:00,240,1 ,No info,4226
Multiple Carriers,2019-06-06,Delhi,Cochin,14:55:00,22:30:00,455,1 ,No info,7038
Indigo,2019-03-03,Delhi,Cochin,08:25:00,15:30:00,425,1 ,No info,14871
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0,No info,8016
Spicejet,2019-04-09,Kolkata,Banglore,06:55:00,09:30:00,155,0,No info,3873
Jet Airways,2019-03-06,Delhi,Cochin,19:15:00,04:25:00,550,1 ,No info,17024
Indigo,2019-03-09,Banglore,New Delhi,16:50:00,21:35:00,285,1 ,No info,10231
Air India,2019-05-01,Kolkata,Banglore,09:25:00,05:25:00,1200,2 ,No info,14687
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,19:55:00,670,1 ,No info,12395
Air India,2019-06-06,Delhi,Cochin,05:00:00,19:15:00,2295,2 ,No info,9653
Multiple Carriers,2019-03-27,Delhi,Cochin,16:00:00,01:35:00,575,1 ,No info,12327
Spicejet,2019-06-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No info,2227
Indigo,2019-05-09,Delhi,Cochin,05:05:00,12:10:00,425,1 ,No info,6818
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1 ,In-flight meal not included,8586
Indigo,2019-03-15,Banglore,New Delhi,14:25:00,19:25:00,300,1 ,No info,9165
Indigo,2019-03-09,Delhi,Cochin,04:55:00,12:00:00,425,1 ,No info,6171
Jet Airways,2019-06-24,Delhi,Cochin,09:35:00,04:25:00,1130,2 ,No info,13292
Jet Airways,2019-03-27,Delhi,Cochin,09:55:00,18:50:00,535,1 ,In-flight meal not included,5963
Multiple Carriers,2019-03-06,Delhi,Cochin,08:25:00,18:50:00,625,1 ,No info,15135
Spicejet,2019-06-06,Kolkata,Banglore,15:55:00,21:25:00,330,1 ,No info,8224
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1 ,In-flight meal not included,9663
Air India,2019-03-15,Banglore,New Delhi,10:30:00,21:25:00,655,2 ,No info,6593
Air India,2019-06-24,Delhi,Cochin,13:00:00,19:15:00,375,1 ,No info,8372
Multiple Carriers,2019-06-09,Delhi,Cochin,04:55:00,19:00:00,845,1 ,No info,10877
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,19:50:00,1640,1 ,No info,12681
Indigo,2019-06-12,Kolkata,Banglore,09:35:00,12:20:00,165,0,No info,4804
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,22:35:00,1595,1 ,In-flight meal not included,10844
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,16:10:00,540,1 ,In-flight meal not included,7563
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,19:00:00,1210,1 ,In-flight meal not included,10262
Jet Airways,2019-06-27,Banglore,Delhi,08:20:00,11:20:00,180,0,No info,8016
Indigo,2019-03-03,Banglore,New Delhi,10:05:00,13:00:00,175,0,No info,7648
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,07:40:00,1365,1 ,In-flight meal not included,7412
Jet Airways,2019-05-09,Banglore,Delhi,19:50:00,22:50:00,180,0,No info,7229
Indigo,2019-03-27,Chennai,Kolkata,22:05:00,00:25:00,140,0,No info,5277
Multiple Carriers,2019-03-21,Delhi,Cochin,13:15:00,21:20:00,485,2 ,No info,6653
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,19:50:00,345,1 ,In-flight meal not included,10844
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,04:25:00,1225,1 ,No info,17024
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0,No info,6961
Air Asia,2019-05-03,Kolkata,Banglore,10:20:00,12:55:00,155,0,No info,4409
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,425,1 ,No info,14781
Air India,2019-06-09,Chennai,Kolkata,11:40:00,13:55:00,135,0,No info,4667
Vistara,2019-03-15,Banglore,New Delhi,07:00:00,09:40:00,160,0,No info,6138
Spicejet,2019-05-09,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Indigo,2019-05-06,Delhi,Cochin,11:25:00,01:30:00,845,1 ,No info,6979
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375,1 ,In-flight meal not included,11087
Multiple Carriers,2019-03-03,Delhi,Cochin,07:30:00,18:50:00,680,1 ,No info,15135
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,19:50:00,345,1 ,No info,14781
Indigo,2019-04-24,Banglore,Delhi,06:05:00,08:50:00,165,0,No info,4423
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,10:25:00,830,1 ,No info,17261
Goair,2019-03-09,Banglore,New Delhi,07:45:00,10:40:00,175,0,No info,7631
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2 ,In-flight meal not included,13029
Jet Airways,2019-06-18,Banglore,Delhi,07:10:00,10:10:00,180,0,No info,8016
Jet Airways,2019-05-27,Delhi,Cochin,20:00:00,04:25:00,505,2 ,No info,16263
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,21:00:00,900,1 ,No info,13677
Spicejet,2019-06-18,Kolkata,Banglore,06:55:00,09:30:00,155,0,No info,3873
Air India,2019-05-01,Delhi,Cochin,22:00:00,19:15:00,1275,2 ,No info,11281
Air India,2019-03-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No info,4937
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,16:20:00,1575,1 ,In-flight meal not included,8529
Air India,2019-03-03,Banglore,New Delhi,05:50:00,12:55:00,425,1 ,No info,12389
Vistara,2019-03-15,Banglore,New Delhi,06:40:00,10:25:00,1665,1 ,No info,6590
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,20:40:00,1410,1 ,No info,13759
Vistara,2019-05-09,Banglore,Delhi,07:00:00,09:40:00,160,0,No info,4668
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:00:00,690,1 ,No info,11264
Multiple Carriers,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1 ,No info,11667
Jet Airways,2019-06-06,Banglore,Delhi,19:50:00,22:50:00,180,0,No info,8016
Indigo,2019-03-01,Banglore,New Delhi,05:15:00,10:00:00,285,1 ,No Info,8064
Indigo,2019-06-06,Delhi,Cochin,06:50:00,16:10:00,560,1 ,No info,6674
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,4842
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,10:05:00,775,1 ,No info,14914
Air India,2019-03-12,Banglore,New Delhi,08:50:00,13:55:00,1745,2 ,No info,13303
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,360,1 ,No info,14714
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,22:30:00,925,1 ,No info,8310
Jet Airways,2019-06-18,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Vistara,2019-05-01,Banglore,Delhi,21:00:00,23:50:00,170,0,No info,4668
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,04:25:00,520,1 ,In-flight meal not included,10262
Air Asia,2019-06-09,Kolkata,Banglore,07:35:00,19:25:00,710,1 ,No info,7870
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,23:25:00,975,1 ,No info,9345
Air India,2019-06-03,Delhi,Cochin,19:00:00,07:40:00,760,1 ,No info,8372
Air India,2019-05-15,Kolkata,Banglore,09:10:00,11:05:00,1555,2 ,No info,6117
Indigo,2019-04-12,Banglore,Delhi,23:30:00,02:20:00,170,0,No info,6906
Spicejet,2019-06-03,Chennai,Kolkata,08:20:00,10:35:00,135,0,No info,3597
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,12:35:00,1505,1 ,In-flight meal not included,12898
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,12:15:00,1475,1 ,In-flight meal not included,7832
Air India,2019-05-18,Kolkata,Banglore,10:00:00,05:25:00,1165,2 ,No info,14109
Vistara,2019-05-18,Delhi,Cochin,14:40:00,17:50:00,190,0,No info,6741
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,135,0,No info,3687
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,04:25:00,335,1 ,No info,15554
Indigo,2019-06-03,Banglore,Delhi,21:15:00,00:15:00,180,0,No info,3943
Spicejet,2019-04-06,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,4319
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,13:15:00,375,1 ,No info,19225
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1 ,In-flight meal not included,10844
Indigo,2019-06-18,Chennai,Kolkata,07:55:00,10:15:00,140,0,No info,3850
Indigo,2019-03-03,Delhi,Cochin,11:55:00,21:20:00,565,2 ,No info,9413
Spicejet,2019-04-01,Delhi,Cochin,06:05:00,11:20:00,315,1 ,No info,5351
Indigo,2019-03-27,Delhi,Cochin,04:45:00,13:20:00,515,1 ,No info,7048
Spicejet,2019-04-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,1965
Indigo,2019-06-27,Delhi,Cochin,08:35:00,16:10:00,455,1 ,No info,6442
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1 ,In-flight meal not included,9450
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,20:20:00,1285,1 ,In-flight meal not included,11087
Indigo,2019-05-15,Kolkata,Banglore,09:20:00,14:15:00,295,1 ,No info,11319
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,04:25:00,395,1 ,In-flight meal not included,6017
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0,No info,4488
Jet Airways,2019-03-27,Delhi,Cochin,05:25:00,19:45:00,2300,2 ,No info,11664
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,18:50:00,1350,1 ,No info,9345
Jet Airways,2019-06-18,Banglore,Delhi,06:00:00,08:45:00,165,0,No info,8016
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,21:00:00,570,1 ,No info,13587
Indigo,2019-03-06,Delhi,Cochin,06:40:00,22:20:00,940,1 ,No info,6442
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1 ,No info,15554
Multiple Carriers,2019-05-21,Delhi,Cochin,11:30:00,01:30:00,840,1 ,No info,14067
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,740,1 ,In-flight meal not included,10844
Air India,2019-03-03,Delhi,Cochin,09:45:00,09:25:00,1420,1 ,No info,24017
Vistara,2019-03-24,Banglore,New Delhi,16:00:00,18:35:00,155,0,No info,5613
Indigo,2019-06-06,Chennai,Kolkata,07:55:00,10:15:00,140,0,No info,3850
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,04:25:00,1165,1 ,In-flight meal not included,10262
Indigo,2019-05-06,Kolkata,Banglore,17:35:00,22:15:00,280,1 ,No info,5699
Air India,2019-03-01,Banglore,New Delhi,09:30:00,12:05:00,1595,1 ,No info,12704
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1 ,In-flight meal not included,12898
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,21:00:00,780,1 ,No info,13797
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,19:00:00,1210,1 ,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,10:55:00,870,1 ,In-flight meal not included,10539
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,875,2 ,No info,12723
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,21:00:00,900,1 ,No info,9845
Air India,2019-05-18,Kolkata,Banglore,16:45:00,12:30:00,1185,2 ,No info,15170
Air India,2019-03-01,Chennai,Kolkata,11:40:00,13:55:00,135,0,No info,19630
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,20:20:00,1440,1 ,No info,9555
Spicejet,2019-06-12,Delhi,Cochin,17:55:00,22:50:00,295,1 ,No info,4957
Air India,2019-03-18,Banglore,New Delhi,21:05:00,23:55:00,170,0,No info,4441
Multiple Carriers,2019-06-03,Delhi,Cochin,06:40:00,19:00:00,740,1 ,No info,10877
Indigo,2019-03-21,Delhi,Cochin,18:35:00,01:35:00,420,1 ,No info,9264
Indigo,2019-04-27,Banglore,Delhi,22:10:00,01:00:00,170,0,No info,3943
Indigo,2019-03-21,Delhi,Cochin,04:45:00,15:30:00,645,1 ,No info,7738
Air India,2019-03-12,Mumbai,Hyderabad,10:05:00,19:10:00,545,2 ,No info,9736
Indigo,2019-05-12,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No info,2227
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,01:30:00,750,1 ,No info,7888
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,05:05:00,1400,1 ,No info,13555
Indigo,2019-03-21,Chennai,Kolkata,19:35:00,21:55:00,140,0,No info,3384
Indigo,2019-04-18,Banglore,Delhi,08:30:00,11:20:00,170,0,No info,5740
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,20:20:00,790,1 ,No info,8452
Indigo,2019-03-01,Chennai,Kolkata,11:35:00,14:00:00,145,0,No info,7900
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1 ,No info,16079
Air India,2019-03-18,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No info,2050
Multiple Carriers,2019-06-03,Delhi,Cochin,07:00:00,21:00:00,840,1 ,No info,7618
Air India,2019-03-06,Mumbai,Hyderabad,21:10:00,16:55:00,255,2 ,No info,17327
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1 ,In-flight meal not included,10844
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2 ,In-flight meal not included,8728
Air India,2019-06-15,Delhi,Cochin,19:45:00,19:15:00,1410,2 ,No info,9653
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,19:15:00,375,1 ,No info,16108
Goair,2019-04-09,Banglore,Delhi,07:45:00,10:40:00,175,0,No info,4632
Jet Airways,2019-05-21,Delhi,Cochin,13:00:00,19:00:00,360,1 ,No info,16079
Jet Airways,2019-06-12,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,6478
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,19:00:00,1325,1 ,In-flight meal not included,12373
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,18:50:00,1550,1 ,No info,8820
Air India,2019-04-01,Delhi,Cochin,05:10:00,08:00:00,170,0,No info,4729
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,20:45:00,740,1 ,In-flight meal not included,10844
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,590,1 ,No info,14571
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,18:50:00,1250,1 ,No info,12242
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,18:15:00,1545,1 ,In-flight meal not included,10844
Indigo,2019-04-03,Kolkata,Banglore,09:35:00,12:20:00,165,0,No info,4174
Air India,2019-03-09,Banglore,New Delhi,22:00:00,23:20:00,1520,1 ,No info,8425
Air India,2019-06-06,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No info,3625
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,19:00:00,450,1 ,In-flight meal not included,10262
Indigo,2019-06-21,Kolkata,Banglore,14:25:00,16:55:00,150,0,No info,5224
Jet Airways,2019-03-06,Delhi,Cochin,16:50:00,04:25:00,2135,2 ,No info,19907
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,12:00:00,1025,1 ,In-flight meal not included,9663
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,08:15:00,1545,1 ,In-flight meal not included,9663
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2 ,No info,13292
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,04:25:00,1295,1 ,No info,16289
